Origin ZIP,Dest ZIP,Service Type,Rate,Effective From,Effective To,Dest City,Dest State
90808,89101,Any,2415,,,Las Vegas,NV
85034,89101,Any,2415,,,Las Vegas,NV
60007,62701,Any,900,,,Springfield,IL
90808,92101,Any,925,,,San Diego,CA
90808,94085,Any,2875,,,Sunnyvale,CA
19032,07430,Any,825,,,Mahwah,NJ
19032,07054,Any,800,,,Parsippany,NJ
19032,07927,Any,800,,,Cedar Knolls,NJ
19032,17101,Any,800,,,Harrisburg,PA
19032,10001,Any,1100,,,New York,NY
19032,18015,Any,250,,,Bethlehem,PA
85034,80011,Any,3450,,,,
33065,34101,Any,925,,,Naples,FL
33065,33602,Any,1450,,,Tampa,FL
33065,32801,Any,1325,,,Orlando,FL
33065,32202,Any,2100,,,Jacksonville,FL
75019,73101,Any,1050,,,Oklahoma City,OK
75019,77001,Any,1405,,,Houston,TX
75019,80201,Any,3600,,,Denver,CO
80011,85034,Any,3450,,,,
85034,60007,Any,5275,,,,
60007,85034,Any,5275,,,,
85034,90808,Any,2875,,,,
90808,85034,Any,2875,,,,
